Team,GP,W,L,Pace,OffRtg,DefRtg,NetRtg,Opp ND/FG,Opp MD/FG,Opp 3P/FG,Opp eFG%,Opp ORB%,Opp DRB%,Opp TRB%,Opp AST%,Opp TOV%,Opp FT/G,Opp FTr
ALBA Berlin,45,35,10,67.0,119.4,108.0,11.4,45.6,20.0,34.4,51.9,28.8,69.9,48.1,42.4,17.6,18.5,0.180
Artland Dragons,38,26,12,68.1,111.0,101.9,9.1,42.8,24.4,32.8,50.8,29.5,72.9,50.0,44.1,20.9,18.8,0.176
Bayer Giants Leverkusen,39,27,12,71.0,110.2,104.8,5.4,43.8,16.5,39.7,50.0,31.4,69.7,49.9,45.9,19.9,17.7,0.170
Brose Baskets,38,24,14,65.7,109.2,97.1,12.1,40.3,21.9,37.8,46.3,27.7,69.7,47.3,44.5,19.2,20.0,0.205
EWE Baskets Oldenburg,42,24,18,68.2,106.3,104.3,1.9,48.9,19.9,31.1,50.0,32.7,70.6,51.2,44.5,19.9,21.7,0.204
Eisbaeren Bremerhaven,37,19,18,72.3,107.5,109.0,-1.4,42.2,18.7,39.0,50.8,30.3,69.7,49.4,47.5,18.1,24.9,0.223
Science City Jena,34,5,29,70.6,98.3,111.8,-13.5,38.0,19.8,42.1,51.6,28.9,69.8,48.7,57.6,17.1,25.8,0.230
DEUTSCHE BANK SKYLINERS,44,23,21,64.7,106.2,104.2,2.0,40.9,19.6,39.4,50.3,30.2,71.7,50.5,50.8,19.5,16.4,0.169
LTi GIESSEN 46ers,34,9,25,70.5,106.0,115.6,-9.6,48.8,13.7,37.5,54.3,30.9,73.2,52.6,48.7,16.6,20.9,0.191
BG 74 Goettingen,34,13,21,74.5,105.3,108.3,-3.0,44.6,16.1,39.2,53.6,33.4,67.5,51.9,53.7,23.4,26.4,0.233
EnBW Ludwigsburg,34,15,19,72.9,110.8,110.6,0.2,51.4,15.7,32.9,54.7,33.5,67.9,51.3,41.5,22.0,23.8,0.210
NY Phantoms Braunschweig,34,17,17,71.3,104.5,105.8,-1.4,48.9,16.2,34.8,51.7,31.1,71.7,51.8,51.5,21.8,25.9,0.236
Koeln 99ers,34,16,18,70.6,109.7,111.4,-1.6,47.4,20.2,32.5,55.3,30.9,66.8,49.0,47.6,19.5,20.0,0.169
ratiopharm Ulm,34,16,18,73.1,112.8,113.1,-0.3,44.9,19.7,35.4,53.4,30.8,62.8,47.3,45.1,16.8,23.1,0.196
TBB Trier,34,7,27,71.9,103.5,113.9,-10.4,51.1,16.0,32.9,54.7,30.6,72.4,52.1,46.8,20.1,25.9,0.237
Telekom Baskets Bonn,47,27,20,66.7,108.5,106.6,2.0,45.5,18.3,36.1,54.5,30.7,66.0,49.5,48.2,24.0,24.6,0.244
WALTER Tigers Tuebingen,34,10,24,68.4,103.0,112.6,-9.6,44.1,17.5,38.3,52.5,29.2,66.9,48.0,51.0,16.4,19.6,0.189
digibu Baskets,34,16,18,73.4,108.3,107.7,0.6,47.1,19.4,33.5,53.8,29.8,72.5,52.0,46.7,20.2,22.4,0.197
