Team,GP,W,L,Pace,OffRtg,DefRtg,NetRtg,Opp ND/FG,Opp MD/FG,Opp 3P/FG,Opp eFG%,Opp ORB%,Opp DRB%,Opp TRB%,Opp AST%,Opp TOV%,Opp FT/G,Opp FTr
ALBA BERLIN,34,26,8,69.1,119.9,105.2,14.7,47.9,19.8,32.3,49.3,28.7,64.1,45.7,54.4,16.8,16.7,0.169
Artland Dragons,34,24,10,72.2,114.8,106.2,8.6,48.1,18.4,33.5,50.6,24.5,71.7,47.5,54.1,16.8,20.1,0.194
BBC Bayreuth,34,13,21,69.5,99.6,110.9,-11.3,54.7,13.6,31.7,51.7,26.4,69.8,48.2,50.9,15.5,23.1,0.216
Brose Baskets,34,30,4,71.8,122.8,96.7,26.2,51.4,17.4,31.2,47.2,28.7,72.6,48.8,46.4,21.1,17.2,0.179
EWE Baskets Oldenburg,34,16,18,71.6,111.9,112.7,-0.8,45.8,20.0,34.2,52.0,29.3,68.4,48.4,53.7,16.1,24.6,0.216
Eisbaeren Bremerhaven,34,16,18,71.5,107.3,111.5,-4.3,50.8,14.1,35.1,53.8,30.2,68.7,49.8,58.5,18.5,22.3,0.200
FC Bayern Muenchen,34,22,12,69.4,111.6,104.9,6.6,43.8,20.1,36.1,49.7,29.7,71.9,50.2,48.0,19.0,23.0,0.220
FRAPORT SKYLINERS,34,17,17,67.0,101.9,101.5,0.4,51.8,15.8,32.4,48.3,30.6,75.0,52.4,50.7,20.5,19.9,0.210
LTi GIESSEN 46ers,34,9,25,69.3,99.0,111.9,-12.9,45.1,17.1,37.8,55.8,28.9,73.8,52.2,56.5,20.6,22.4,0.202
BG Goettingen,34,4,30,71.7,95.1,113.9,-18.8,48.5,14.1,37.4,53.6,33.1,72.1,54.1,57.7,18.6,23.5,0.210
EnBW Ludwigsburg,34,10,24,69.6,108.7,111.0,-2.3,47.1,14.8,38.1,51.2,27.8,67.9,47.9,56.4,17.3,22.9,0.229
NY Phantoms Braunschweig,34,18,16,70.7,109.2,109.5,-0.2,49.0,18.0,33.0,50.7,30.1,72.5,51.0,48.7,18.2,23.6,0.230
Phoenix Hagen,34,10,24,73.9,105.7,119.3,-13.6,52.7,14.8,32.5,57.1,32.2,73.2,53.7,53.8,17.5,23.8,0.199
ratiopharm ulm,34,27,7,73.1,111.8,102.2,9.6,42.8,19.2,38.0,48.7,27.9,72.7,49.2,52.2,18.1,17.2,0.165
TBB Trier,34,11,23,68.5,97.9,106.9,-9.0,48.8,15.9,35.3,51.7,30.1,70.0,50.7,54.8,19.8,19.9,0.194
Telekom Baskets Bonn,34,18,16,69.9,114.5,109.8,4.7,52.3,15.4,32.2,53.1,29.3,68.8,49.1,48.2,18.4,17.1,0.159
WALTER Tigers Tuebingen,34,15,19,71.5,106.6,110.3,-3.7,47.4,16.5,36.1,52.4,28.0,73.5,50.3,55.5,18.0,22.3,0.208
s.Oliver Baskets,34,20,14,70.7,100.5,94.8,5.6,45.5,17.3,37.2,47.3,29.9,68.6,50.6,52.8,24.7,22.9,0.237
