Team,GP,W,L,Pace,OffRtg,DefRtg,NetRtg,Opp ND/FG,Opp MD/FG,Opp 3P/FG,Opp eFG%,Opp ORB%,Opp DRB%,Opp TRB%,Opp AST%,Opp TOV%,Opp FT/G,Opp FTr
ALBA Berlin,34,26,8,67.4,118.4,104.4,14.0,49.4,16.6,34.0,48.7,30.8,73.5,50.4,39.4,19.0,18.9,0.198
Artland Dragons,34,18,16,71.3,108.6,107.5,1.1,46.0,19.0,35.1,51.6,28.8,71.0,50.0,47.6,19.7,24.5,0.229
GIANTS Duesseldorf,34,12,20,69.0,104.6,108.7,-4.1,44.0,14.9,41.1,53.5,32.4,74.2,53.3,49.6,21.2,20.7,0.188
Brose Baskets,34,19,15,68.7,107.0,101.2,5.8,48.3,16.3,35.5,49.9,28.1,71.8,49.1,40.0,19.6,18.4,0.169
EWE Baskets Oldenburg,34,25,9,70.1,112.0,104.4,7.5,51.4,19.3,29.3,50.4,31.7,68.2,48.9,39.4,19.8,21.1,0.194
Eisbaeren Bremerhaven,34,7,27,72.0,103.2,114.4,-11.2,48.4,13.2,38.4,54.6,31.5,67.5,49.6,49.4,17.3,23.5,0.192
Giants Noerdlingen,34,11,23,69.6,101.6,107.9,-6.3,48.0,14.4,37.6,53.1,31.6,65.2,48.7,46.0,20.3,19.2,0.163
DEUTSCHE BANK SKYLINERS,34,21,13,66.3,107.2,101.0,6.2,44.3,13.1,42.6,49.3,30.3,65.0,47.1,47.3,21.0,19.8,0.193
LTi GIESSEN 46ers,33,8,25,71.1,100.7,110.9,-10.2,48.0,15.0,36.9,54.7,27.4,73.5,50.7,47.9,18.0,23.6,0.199
MEG Goettingen,34,25,9,72.7,103.8,96.9,6.9,43.9,14.7,41.4,51.8,29.6,66.8,50.2,52.0,26.4,20.1,0.198
EnBW Ludwigsburg,33,15,18,68.5,101.6,107.1,-5.6,44.5,16.8,38.8,50.6,28.9,70.6,49.7,38.9,19.7,26.2,0.258
NY Phantoms Braunschweig,34,14,19,67.8,101.8,101.4,0.3,53.2,13.6,33.2,50.3,29.1,71.6,50.8,47.3,22.0,23.7,0.231
Koeln 99ers,34,11,22,68.4,102.9,108.9,-6.0,49.4,13.1,37.5,52.3,31.1,69.1,50.3,50.6,19.9,24.1,0.229
ratiopharm Ulm,34,21,13,71.4,109.4,108.0,1.4,52.7,13.2,34.1,52.4,30.1,66.1,48.3,43.0,18.8,20.6,0.188
TBB Trier,34,16,18,70.6,106.2,107.7,-1.4,55.4,13.7,30.9,53.2,30.5,75.1,53.0,42.0,21.6,22.2,0.212
Telekom Baskets Bonn,34,22,12,69.2,108.6,104.9,3.6,51.1,14.8,34.1,48.6,32.0,71.6,51.4,45.6,19.8,24.9,0.241
WALTER Tigers Tuebingen,34,14,20,70.7,104.9,107.8,-2.9,46.2,14.4,39.5,52.4,31.7,69.5,50.8,51.5,20.4,21.2,0.195
Paderborn Baskets,34,18,16,70.7,106.6,104.8,1.8,48.1,17.0,34.9,51.1,28.1,67.9,48.0,45.7,19.3,21.7,0.199
