Team,GP,W,L,Pace,OffRtg,DefRtg,NetRtg,ND/FG,MD/FG,3P/FG,eFG%,ORB%,DRB%,TRB%,AST%,TOV%,FT/G,FTr
ALBA Berlin,44,31,13,67.0,115.7,103.7,12.1,50.0,13.4,36.6,58.6,25.9,69.9,49.5,56.1,18.1,24.1,0.314
Artland Dragons,34,18,16,71.3,108.6,107.5,1.1,46.3,15.7,37.9,53.1,29.0,71.2,50.0,51.0,20.3,23.8,0.310
GIANTS Duesseldorf,34,12,22,69.0,104.6,108.7,-4.1,41.3,18.8,39.9,51.5,25.8,67.6,46.7,51.6,19.2,18.1,0.229
Brose Baskets,41,22,19,69.3,106.1,101.1,5.0,49.7,11.6,38.8,52.4,28.1,70.1,50.1,46.3,21.2,23.3,0.315
EWE Baskets Oldenburg,46,34,12,69.3,111.8,104.3,7.5,42.5,15.5,42.0,54.2,32.3,69.1,51.5,44.9,20.5,24.0,0.306
Eisbaeren Bremerhaven,34,7,27,72.0,103.2,114.4,-11.2,52.6,12.9,34.5,50.4,32.5,68.5,50.4,45.0,21.4,18.6,0.209
Giants Noerdlingen,34,11,23,69.6,101.6,107.9,-6.3,46.9,13.3,39.9,49.1,34.8,68.4,51.3,46.7,22.5,22.9,0.266
DEUTSCHE BANK SKYLINERS,38,22,16,66.1,106.9,102.2,4.7,45.5,18.3,36.2,51.8,34.4,69.4,52.4,55.4,21.0,19.1,0.230
LTi GIESSEN 46ers,33,8,25,71.1,100.7,110.9,-10.2,50.1,17.9,32.1,50.8,26.5,72.6,49.3,38.8,21.8,24.4,0.297
MEG Goettingen,38,26,12,81.6,102.6,97.5,5.2,44.5,21.8,33.7,46.0,33.8,70.4,50.1,35.7,18.3,20.8,0.222
EnBW Ludwigsburg,33,15,18,68.5,101.6,107.1,-5.6,50.3,12.7,37.0,49.3,29.4,71.1,50.3,42.4,21.6,20.6,0.275
New Yorker Phantoms Braunschweig,34,14,20,67.8,101.8,101.4,0.3,47.8,16.8,35.5,50.0,28.4,70.9,49.2,43.1,19.3,20.0,0.221
Koeln 99ers,34,11,23,68.4,102.9,108.9,-6.0,50.1,14.4,35.5,50.3,30.9,68.9,49.7,47.8,22.0,21.0,0.263
ratiopharm Ulm,37,21,16,71.2,108.5,108.2,0.3,55.0,10.1,34.9,52.5,34.2,70.3,51.9,45.7,20.7,22.7,0.249
TBB Trier,34,16,18,70.6,106.2,107.7,-1.4,51.8,11.2,37.1,53.6,24.9,69.5,47.0,44.9,18.8,20.4,0.240
Telekom Baskets Bonn,47,30,17,68.7,107.0,104.8,2.2,48.8,18.2,33.0,51.7,28.7,68.4,48.8,37.6,18.7,21.4,0.256
WALTER Tigers Tuebingen,34,14,20,70.7,104.9,107.8,-2.9,48.9,14.9,36.3,50.2,30.5,68.3,49.2,37.5,19.8,22.9,0.263
Paderborn Baskets,39,20,19,70.2,106.4,105.5,1.0,48.4,20.9,30.7,50.4,31.2,72.1,51.7,46.9,19.9,26.1,0.320
