Team,GP,W,L,Pace,OffRtg,DefRtg,NetRtg,Opp ND/FG,Opp MD/FG,Opp 3P/FG,Opp eFG%,Opp ORB%,Opp DRB%,Opp TRB%,Opp AST%,Opp TOV%,Opp FT/G,Opp FTr
ALBA BERLIN,37,20,17,68.6,113.2,109.1,4.1,44.3,18.9,36.8,53.7,28.5,65.8,52.2,56.0,20.5,19.5,0.193
Artland Dragons,37,20,17,69.5,111.0,111.7,-0.7,46.5,18.3,35.2,52.3,29.9,70.2,50.0,50.3,17.0,19.1,0.183
BBC Bayreuth,34,14,20,69.8,106.7,111.4,-4.7,52.5,14.5,33.1,51.7,26.5,65.0,54.0,49.2,17.2,24.9,0.244
Brose Baskets,46,35,11,71.9,118.2,104.5,13.7,51.0,16.0,33.1,49.1,29.5,71.5,50.9,49.1,18.2,18.2,0.179
EWE Baskets Oldenburg,47,31,16,70.6,110.3,101.7,8.6,42.2,24.5,33.3,47.2,29.0,70.9,50.9,44.1,19.1,22.6,0.228
Eisbaeren Bremerhaven,34,15,19,70.4,111.9,113.3,-1.5,50.8,16.1,33.1,55.1,30.6,68.3,49.9,51.2,18.7,19.6,0.176
FC Bayern Muenchen,42,26,16,73.0,113.3,104.3,8.9,42.0,18.8,39.2,50.0,28.2,69.5,51.5,57.2,19.3,20.5,0.202
FRAPORT SKYLINERS,34,14,20,68.8,104.1,103.8,0.3,47.9,16.4,35.8,50.5,30.8,72.8,47.6,48.8,22.6,21.8,0.234
LTi GIESSEN 46ers,34,4,30,70.9,95.9,124.4,-28.5,49.6,17.5,32.9,57.8,33.3,78.1,44.8,54.4,14.7,18.2,0.155
Mitteldeutscher BC,34,13,21,69.6,106.1,111.2,-5.1,51.3,17.7,31.0,50.9,32.4,72.0,47.5,44.6,17.9,22.3,0.215
Neckar RIESEN Ludwigsburg,34,12,22,70.5,105.1,109.9,-4.8,44.8,19.2,36.0,52.9,31.2,72.7,47.6,51.0,20.5,22.1,0.211
NY Phantoms Braunschweig,34,14,20,68.3,109.4,112.3,-2.9,44.0,18.6,37.4,53.2,30.4,71.2,48.9,52.3,17.4,19.4,0.182
Phoenix Hagen,38,19,19,79.9,107.8,112.6,-4.8,54.9,13.2,31.9,55.4,30.5,70.1,48.3,55.7,20.9,26.0,0.215
ratiopharm ulm,42,29,13,72.8,113.2,104.7,8.5,43.5,22.3,34.3,48.9,25.9,70.0,52.9,51.4,15.8,18.6,0.176
TBB Trier,34,15,19,70.9,105.7,106.3,-0.6,46.9,15.3,37.8,51.7,29.1,70.1,50.2,54.1,21.0,21.9,0.215
Telekom Baskets Bonn,39,20,19,71.5,112.6,113.5,-0.9,49.3,17.2,33.5,51.9,30.4,71.2,49.1,50.5,16.2,25.3,0.229
WALTER Tigers Tuebingen,34,16,18,72.4,107.4,110.3,-2.9,49.7,16.8,33.5,52.7,26.3,72.8,50.9,55.7,15.6,20.1,0.181
s.Oliver Baskets,34,17,17,71.8,99.5,98.1,1.4,46.7,18.4,34.9,48.0,28.2,70.5,50.5,51.0,21.7,22.4,0.224
