Team,GP,W,L,Pace,OffRtg,DefRtg,NetRtg,ND/FG,MD/FG,3P/FG,eFG%,ORB%,DRB%,TRB%,AST%,TOV%,FT/G,FTr
ALBA BERLIN,37,20,17,68.6,113.2,109.1,4.1,50.3,20.6,29.1,50.8,34.2,71.5,52.2,50.9,17.5,21.9,0.289
Artland Dragons,37,20,17,69.5,111.0,111.7,-0.7,42.4,23.3,34.3,52.3,29.8,70.1,50.0,52.7,18.1,19.3,0.252
BBC Bayreuth,34,14,20,69.8,106.7,111.4,-4.7,47.5,16.6,35.9,49.3,35.0,73.5,54.0,48.4,21.2,23.3,0.301
Brose Baskets,46,35,11,71.9,118.2,104.5,13.7,45.9,12.2,41.9,56.1,28.5,70.5,50.9,63.1,17.4,24.7,0.321
EWE Baskets Oldenburg,47,31,16,70.6,110.3,101.7,8.6,47.2,21.6,31.2,52.1,29.1,71.0,50.9,51.9,18.0,21.8,0.274
Eisbaeren Bremerhaven,34,15,19,70.4,111.9,113.3,-1.5,47.2,26.7,26.0,50.8,31.7,69.4,49.9,53.5,17.1,21.8,0.287
FC Bayern Muenchen,42,26,16,73.0,113.3,104.3,8.9,49.5,16.4,34.2,52.1,30.5,71.8,51.5,56.2,17.6,26.6,0.325
FRAPORT SKYLINERS,34,14,20,68.8,104.1,103.8,0.3,45.2,21.7,33.1,50.2,27.2,69.2,47.6,49.9,19.2,21.1,0.262
LTi GIESSEN 46ers,34,4,30,70.9,95.9,124.4,-28.5,46.6,21.5,31.9,51.6,21.9,66.7,44.8,56.6,23.2,16.1,0.203
Mitteldeutscher BC,34,13,21,69.6,106.1,111.2,-5.1,47.0,10.9,42.1,50.4,28.0,67.6,47.5,52.5,18.1,20.5,0.250
Neckar RIESEN Ludwigsburg,34,12,22,70.5,105.1,109.9,-4.8,45.9,17.6,36.5,51.0,27.3,68.8,47.6,48.8,18.9,19.1,0.235
NY Phantoms Braunschweig,34,14,20,68.3,109.4,112.3,-2.9,46.0,13.3,40.6,52.5,28.8,69.6,48.9,48.6,18.3,17.1,0.217
Phoenix Hagen,38,19,19,79.9,107.8,112.6,-4.8,48.0,15.4,36.6,50.7,29.9,69.5,48.3,46.3,18.1,21.5,0.238
ratiopharm ulm,42,29,13,72.8,113.2,104.7,8.5,43.0,19.1,37.8,52.7,30.0,74.1,52.9,47.9,17.3,20.9,0.256
TBB Trier,34,15,19,70.9,105.7,106.3,-0.6,54.9,12.8,32.2,51.0,29.9,70.9,50.2,46.0,19.6,20.5,0.246
Telekom Baskets Bonn,39,20,19,71.5,112.6,113.5,-0.9,46.5,18.4,35.2,53.2,28.8,69.6,49.1,57.0,16.2,21.8,0.244
WALTER Tigers Tuebingen,34,16,18,72.4,107.4,110.3,-2.9,57.0,18.4,24.5,52.4,27.2,73.7,50.9,45.0,18.4,20.4,0.238
s.Oliver Baskets,34,17,17,71.8,99.5,98.1,1.4,47.2,16.3,36.6,49.1,29.5,71.8,50.5,47.7,21.8,21.3,0.241
